condition,List,participant,phase,PresentationID,TrialID,target_filename,foil_filename,distractor_filename,informative_target,informative_foil,target_to_foil,target_to_distractor,target_to_White Space,foil_to_target,foil_to_distractor,foil_to_White Space,distractor_to_target,distractor_to_foil,White Space_to_target,White Space_to_foil,White Space_to_distractor,distractor_to_White Space
ambig,B,P22,elmo,1,B3,clock2,clock1,cake,1,1,0,1,0,0,0,0,0,0,0,0,0,0
control,B,P22,elmo,2,B15,chair2,dog1,kangaroo,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,B,P22,elmo,3,B1,fish2,fish1,playdoh,1,1,0,1,0,0,0,0,0,0,0,0,0,0
ambig,B,P22,elmo,4,B4,cup2,cup1,dress,1,1,0,0,1,0,0,0,0,0,0,0,0,0
ambig,B,P22,elmo,5,B5,shoe2,shoe1,paintbrush,1,1,1,0,0,0,0,0,0,0,0,0,0,0
control,B,P22,elmo,6,B9,bike2,bird1,candle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,B,P22,elmo,7,B16,dog2,bike1,rainbow,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,B,P22,elmo,8,B7,toothbrush2,toothbrush1,door,1,1,0,0,0,1,0,0,0,0,0,0,0,0
control,B,P22,elmo,9,B10,bird2,book1,playground,0,0,0,1,0,0,0,0,1,0,0,0,0,0
ambig,B,P22,elmo,10,B2,flower2,flower1,cane,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,B,P22,elmo,11,B12,bus2,car1,flashlight,0,0,0,0,0,0,0,0,1,0,0,0,0,0
control,B,P22,elmo,12,B11,book2,bus1,apple,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,B,P22,elmo,13,B8,tree2,flower1,pencil,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,B,P22,elmo,14,B13,car2,cat1,dolphin,1,1,0,0,0,0,0,0,1,0,0,0,0,0
ambig,B,P22,elmo,15,B6,spoon2,spoon1,comb,1,1,0,0,0,1,0,0,0,0,0,0,0,0
control,B,P22,elmo,16,B14,cat2,chair1,hairbrush,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P12,elmo,1,D2,bird2,bird1,playground,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P12,elmo,2,D5,car2,car1,dolphin,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P12,elmo,3,D6,cat2,cat1,brush,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P12,elmo,4,D14,spoon2,toothbrush1,comb,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P12,elmo,5,D12,clock2,shoe1,dress,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P12,elmo,6,D11,cup2,clock1,cake,1,0,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P12,elmo,7,D16,tree2,fish1,pencil,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P12,elmo,8,D3,book2,book1,apple,1,1,0,1,0,0,1,0,0,0,0,0,0,0
ambig,D,P12,elmo,9,D4,bus2,bus1,torch,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P12,elmo,10,D1,bike2,bike1,candle,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P12,elmo,11,D15,toothbrush2,tree1,door,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P12,elmo,12,D8,dog2,dog1,rainbow,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P12,elmo,13,D9,fish2,flower1,playdoh,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P12,elmo,14,D7,chair2,chair1,kangaroo,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P12,elmo,15,D13,shoe2,spoon1,paintbrush,1,0,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P12,elmo,16,D10,flower2,cup1,cane,1,1,0,0,0,0,1,0,0,0,0,0,0,0
control,B,P34,elmo,1,B13,car2,cat1,dolphin,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,B,P34,elmo,2,B7,toothbrush2,toothbrush1,door,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,B,P34,elmo,3,B16,dog2,bike1,rainbow,0,0,0,0,0,1,0,0,0,0,0,0,0,0
control,B,P34,elmo,4,B10,bird2,book1,playground,0,0,0,0,0,0,1,0,0,0,0,0,0,0
control,B,P34,elmo,5,B12,bus2,car1,flashlight,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,B,P34,elmo,6,B9,bike2,bird1,candle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,B,P34,elmo,7,B3,clock2,clock1,cake,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,B,P34,elmo,8,B15,chair2,dog1,kangaroo,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,B,P34,elmo,9,B8,tree2,flower1,pencil,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,B,P34,elmo,10,B14,cat2,chair1,hairbrush,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,B,P34,elmo,11,B1,fish2,fish1,playdoh,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ambig,B,P34,elmo,12,B4,cup2,cup1,dress,0,0,1,0,0,1,0,0,0,0,0,0,0,0
control,B,P34,elmo,13,B11,book2,bus1,apple,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ambig,B,P34,elmo,14,B5,shoe2,shoe1,paintbrush,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,B,P34,elmo,15,B6,spoon2,spoon1,comb,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,B,P34,elmo,16,B2,flower2,flower1,cane,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ambig,B,P43,elmo,1,B8,tree2,flower1,pencil,1,1,1,0,0,0,0,0,0,0,0,0,0,0
control,B,P43,elmo,2,B12,bus2,car1,flashlight,1,1,0,0,0,0,0,0,0,1,0,0,0,0
control,B,P43,elmo,3,B16,dog2,bike1,rainbow,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,B,P43,elmo,4,B6,spoon2,spoon1,comb,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,B,P43,elmo,5,B3,clock2,clock1,cake,1,1,0,0,0,0,0,0,0,0,0,0,1,0
control,B,P43,elmo,6,B11,book2,bus1,apple,1,1,0,0,0,0,0,0,0,0,0,0,1,0
control,B,P43,elmo,7,B10,bird2,book1,playground,0,1,0,0,2,0,0,0,0,0,1,0,0,0
control,B,P43,elmo,8,B14,cat2,chair1,hairbrush,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,B,P43,elmo,9,B5,shoe2,shoe1,paintbrush,1,1,0,0,1,0,0,0,0,0,0,0,0,0
ambig,B,P43,elmo,10,B4,cup2,cup1,dress,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,B,P43,elmo,11,B1,fish2,fish1,playdoh,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,B,P43,elmo,12,B15,chair2,dog1,kangaroo,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,B,P43,elmo,13,B13,car2,cat1,dolphin,1,1,0,0,1,0,0,0,0,0,0,0,1,0
control,B,P43,elmo,14,B9,bike2,bird1,candle,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,B,P43,elmo,15,B7,toothbrush2,toothbrush1,door,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,B,P43,elmo,16,B2,flower2,flower1,cane,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P27,elmo,1,C13,shoe1,spoon2,paintbrush,1,0,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P27,elmo,2,C12,clock1,shoe2,dress,0,1,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P27,elmo,3,C16,tree1,fish2,pencil,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P27,elmo,4,C1,bike1,bike2,candle,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P27,elmo,5,C11,cup1,clock2,cake,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P27,elmo,6,C9,fish1,flower2,playdoh,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P27,elmo,7,C3,book1,book2,apple,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P27,elmo,8,C2,bird1,bird2,playground,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P27,elmo,9,C4,bus1,bus2,torch,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P27,elmo,10,C6,cat1,cat2,brush,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P27,elmo,11,C7,chair1,chair2,kangaroo,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P27,elmo,12,C8,dog1,dog2,kangaroo,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P27,elmo,13,C10,flower1,cup2,cane,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P27,elmo,14,C15,toothbrush1,tree2,door,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ambig,C,P27,elmo,15,C5,car1,car2,dolphin,1,1,1,0,0,0,0,0,0,0,0,0,0,0
control,C,P27,elmo,16,C14,spoon1,toothbrush2,comb,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,B,P10,elmo,1,B4,cup2,cup1,dress,0,0,0,0,0,0,0,0,1,0,0,0,0,0
control,B,P10,elmo,2,B10,bird2,book1,playground,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,B,P10,elmo,3,B15,chair2,dog1,kangaroo,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,B,P10,elmo,4,B13,car2,cat1,dolphin,0,0,1,0,0,0,0,0,0,0,1,0,0,0
control,B,P10,elmo,5,B16,dog2,bike1,rainbow,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,B,P10,elmo,6,B2,flower2,flower1,cane,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ambig,B,P10,elmo,7,B6,spoon2,spoon1,comb,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,B,P10,elmo,8,B3,clock2,clock1,cake,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,B,P10,elmo,9,B5,shoe2,shoe1,paintbrush,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,B,P10,elmo,10,B9,bike2,bird1,candle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,B,P10,elmo,11,B8,tree2,flower1,pencil,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,B,P10,elmo,12,B7,toothbrush2,toothbrush1,door,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,B,P10,elmo,13,B12,bus2,car1,flashlight,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,B,P10,elmo,14,B1,fish2,fish1,playdoh,0,0,0,0,0,1,0,0,0,0,0,0,0,0
control,B,P10,elmo,15,B14,cat2,chair1,hairbrush,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,B,P10,elmo,16,B11,book2,bus1,apple,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,A,P25,elmo,1,A14,cat1,chair2,hairbrush,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,A,P25,elmo,2,A13,car1,cat2,dolphin,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,A,P25,elmo,3,A9,bike1,bird2,candle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,A,P25,elmo,4,A2,flower2,flower1,cane,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ambig,A,P25,elmo,5,A6,spoon1,spoon2,comb,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,A,P25,elmo,6,A3,clock1,clock2,cake,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ambig,A,P25,elmo,7,A1,fish1,fish2,playdoh,0,0,0,0,0,0,1,0,0,0,0,0,0,0
control,A,P25,elmo,8,A15,chair1,dog2,kangaroo,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,A,P25,elmo,9,A16,dog1,bike2,rainbow,0,0,0,0,0,0,0,0,1,0,0,0,0,0
control,A,P25,elmo,10,A10,book1,bus2,apple,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,A,P25,elmo,11,A5,shoe1,shoe2,paintbrush,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,A,P25,elmo,12,A11,book2,bird1,playground,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,A,P25,elmo,13,A7,toothbrush1,toothbrush2,door,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ambig,A,P25,elmo,14,A4,cup1,cup2,dress,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,A,P25,elmo,15,A8,flower1,tree2,pencil,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,A,P25,elmo,16,A12,bus1,car2,flashlight,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P42,elmo,1,C13,shoe1,spoon2,paintbrush,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P42,elmo,2,C4,bus1,bus2,torch,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P42,elmo,3,C10,flower1,cup2,cane,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P42,elmo,4,C1,bike1,bike2,candle,1,1,0,1,0,0,0,0,0,0,0,0,0,0
control,C,P42,elmo,5,C9,fish1,flower2,playdoh,1,1,0,0,0,0,0,0,0,0,0,1,0,0
ambig,C,P42,elmo,6,C8,dog1,dog2,rainbow,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P42,elmo,7,C6,cat1,cat2,brush,1,None,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P42,elmo,8,C2,bird1,bird2,playground,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P42,elmo,9,C3,book1,book2,apple,1,1,0,0,0,0,0,0,1,0,0,0,0,0
ambig,C,P42,elmo,10,C7,chair1,chair2,kangaroo,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P42,elmo,11,C14,spoon1,toothbrush2,comb,1,0,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P42,elmo,12,C16,tree1,fish2,pencil,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P42,elmo,13,C11,cup1,clock2,cake,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P42,elmo,14,C5,car1,car2,dolphin,1,1,0,0,0,0,0,0,0,0,0,1,0,0
control,C,P42,elmo,15,C12,clock1,shoe2,dress,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P42,elmo,16,C15,toothbrush1,tree2,door,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P03,elmo,1,C5,car1,car2,dolphin,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P03,elmo,2,C6,cat1,cat2,brush,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P03,elmo,3,C11,cup1,clock2,cake,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P03,elmo,4,C15,toothbrush1,tree2,door,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P03,elmo,5,C13,shoe1,spoon2,paintbrush,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P03,elmo,6,C7,chair1,chair2,kangaroo,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P03,elmo,7,C4,bus1,bus2,torch,0,0,0,0,0,1,0,0,0,0,0,0,0,0
control,C,P03,elmo,8,C16,tree1,fish2,pencil,0,0,0,0,1,0,0,0,0,0,0,0,1,0
control,C,P03,elmo,9,C12,clock1,shoe2,dress,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P03,elmo,10,C8,dog1,dog2,rainbow,0,0,0,0,0,0,0,0,0,0,0,0,1,0
control,C,P03,elmo,11,C9,fish1,flower2,playdoh,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P03,elmo,12,C10,flower1,cup2,cane,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P03,elmo,13,C2,bird1,bird2,playground,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P03,elmo,14,C3,book1,book2,apple,0,0,0,0,0,1,0,0,0,0,0,0,0,0
control,C,P03,elmo,15,C14,spoon1,toothbrush2,comb,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P03,elmo,16,C1,bike1,bike2,candle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,B,P30,elmo,1,B7,toothbrush2,toothbrush1,door,1,1,0,0,0,0,1,0,0,1,0,0,0,0
control,B,P30,elmo,2,B13,car2,cat1,dolphin,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,B,P30,elmo,3,B3,clock2,clock1,cake,1,1,0,0,0,1,0,0,0,0,0,0,0,0
control,B,P30,elmo,4,B12,bus2,car1,flashlight,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ambig,B,P30,elmo,5,B6,spoon2,spoon1,comb,1,1,1,0,0,0,0,0,0,0,0,0,0,0
control,B,P30,elmo,6,B16,dog2,bike1,rainbow,1,0,0,0,0,0,0,0,0,0,0,0,0,0
control,B,P30,elmo,7,B15,chair2,dog1,kangaroo,1,0,0,0,0,0,0,0,0,1,0,0,0,0
control,B,P30,elmo,8,B10,bird2,book1,playground,1,0,0,0,0,0,0,0,1,0,0,0,0,0
ambig,B,P30,elmo,9,B4,cup2,cup1,dress,0,1,1,0,0,0,0,0,0,0,0,0,0,0
ambig,B,P30,elmo,10,B5,shoe2,shoe1,paintbrush,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,B,P30,elmo,11,B9,bike2,bird1,candle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,B,P30,elmo,12,B1,fish2,fish1,playdoh,0,0,0,0,0,1,0,0,0,0,0,0,0,0
control,B,P30,elmo,13,B11,book2,bus1,apple,0,0,0,0,0,0,0,0,0,0,0,1,0,0
control,B,P30,elmo,14,B14,cat2,chair1,hairbrush,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ambig,B,P30,elmo,15,B8,tree2,flower1,pencil,1,0,1,0,0,0,0,0,1,0,0,0,0,0
ambig,B,P30,elmo,16,B2,flower2,flower1,cane,0,0,0,0,1,0,0,0,0,0,1,0,0,0
ambig,C,P40,elmo,1,C4,bus1,bus2,torch,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P40,elmo,2,C16,tree1,fish2,pencil,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P40,elmo,3,C3,book1,book2,apple,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P40,elmo,4,C9,fish1,flower2,playdoh,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P40,elmo,5,C7,chair1,chair2,kangaroo,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P40,elmo,6,C11,cup1,clock2,cake,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P40,elmo,7,C14,spoon1,toothbrush2,comb,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P40,elmo,8,C6,cat1,cat2,brush,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P40,elmo,9,C1,bike1,bike2,candle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P40,elmo,10,C8,dog1,dog2,rainbow,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P40,elmo,11,C15,toothbrush1,tree2,door,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P40,elmo,12,C13,shoe1,spoon2,paintbrush,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P40,elmo,13,C12,clock1,shoe2,dress,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P40,elmo,14,C2,bird1,bird2,playground,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ambig,C,P40,elmo,15,C5,car1,car2,dolphin,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P40,elmo,16,C10,flower1,cup2,cane,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P35,elmo,1,C12,clock1,shoe2,dress,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P35,elmo,2,C2,bird1,bird2,playground,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P35,elmo,3,C1,bike1,bike2,candle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P35,elmo,4,C14,spoon1,toothbrush2,comb,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ambig,C,P35,elmo,5,C5,car1,car2,dolphin,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P35,elmo,6,C16,tree1,fish2,pencil,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ambig,C,P35,elmo,7,C8,dog1,dog2,rainbow,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P35,elmo,8,C7,chair1,chair2,kangaroo,0,0,0,1,0,0,0,0,0,0,0,0,0,1
control,C,P35,elmo,9,C15,toothbrush1,tree2,door,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P35,elmo,10,C6,cat1,cat2,brush,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P35,elmo,11,C13,shoe1,spoon2,paintbrush,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P35,elmo,12,C10,flower1,cup2,cane,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P35,elmo,13,C9,fish1,flower2,playdoh,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P35,elmo,14,C3,book1,book2,apple,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P35,elmo,15,C11,cup1,clock2,cake,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P35,elmo,16,C4,bus1,bus2,torch,0,0,1,0,0,0,0,0,0,0,0,0,0,0
control,D,P14,elmo,1,D13,shoe2,spoon1,paintbrush,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P14,elmo,2,D4,bus2,bus1,torch,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P14,elmo,3,D10,flower2,cup1,cane,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P14,elmo,4,D11,cup2,clock1,cake,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P14,elmo,5,D6,cat2,cat1,brush,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P14,elmo,6,D5,car2,car1,dolphin,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P14,elmo,7,D2,bird2,bird1,playground,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P14,elmo,8,D16,tree2,fish1,pencil,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P14,elmo,9,D1,bike2,bike1,candle,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P14,elmo,10,D14,spoon2,toothbrush1,comb,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P14,elmo,11,D8,dog2,dog1,rainbow,1,1,1,0,0,0,0,0,0,0,0,0,0,0
control,D,P14,elmo,12,D9,fish2,flower1,playdoh,1,1,2,0,0,1,0,0,0,0,0,0,0,0
ambig,D,P14,elmo,13,D3,book2,book1,apple,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P14,elmo,14,D7,chair2,chair1,kangaroo,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P14,elmo,15,D15,toothbrush2,tree1,door,1,0,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P14,elmo,16,D12,clock2,shoe1,dress,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,A,P05,elmo,1,A6,spoon1,spoon2,comb,0,0,1,0,0,0,0,1,0,0,0,0,0,0
control,A,P05,elmo,2,A12,bus1,car2,flashlight,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,A,P05,elmo,3,A16,dog1,bike2,rainbow,0,0,0,0,1,1,0,0,0,0,0,0,0,0
control,A,P05,elmo,4,A10,book1,bus2,apple,0,0,0,0,0,0,0,0,0,0,0,0,0,0
