condition,List,participant,phase,PresentationID,TrialID,target_filename,foil_filename,distractor_filename,informative_target,informative_foil,target_to_foil,target_to_distractor,target_to_White Space,foil_to_target,foil_to_distractor,foil_to_White Space,distractor_to_target,distractor_to_foil,White Space_to_target,White Space_to_foil,White Space_to_distractor,distractor_to_White Space
control,D,P24,elmo,5,D14,spoon2,toothbrush1,comb,0,1,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P24,elmo,6,D13,shoe2,spoon1,paintbrush,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P24,elmo,7,D5,car2,car1,dolphin,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P24,elmo,8,D15,toothbrush2,tree1,door,1,0,0,0,0,0,0,0,1,0,0,0,0,0
control,D,P24,elmo,9,D16,tree2,fish1,pencil,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P24,elmo,10,D12,clock2,shoe1,dress,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P24,elmo,11,D8,dog2,dog1,rainbow,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P24,elmo,12,D11,cup2,clock1,cake,1,1,0,0,0,0,0,0,0,1,0,0,0,0
ambig,D,P24,elmo,13,D4,bus2,bus1,torch,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P24,elmo,14,D1,bike2,bike1,candle,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P24,elmo,15,D7,chair2,chair1,kangaroo,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P24,elmo,16,D6,cat2,cat1,brush,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,A,P17,elmo,1,A11,book2,bird1,playground,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,A,P17,elmo,2,A6,spoon1,spoon2,comb,0,0,1,0,0,1,0,0,0,0,0,0,0,0
control,A,P17,elmo,3,A16,dog1,bike2,rainbow,0,0,1,0,1,0,0,0,0,0,1,0,0,0
control,A,P17,elmo,4,A14,cat1,chair2,hairbrush,0,0,0,0,0,0,0,0,1,0,0,0,0,0
control,A,P17,elmo,5,A10,book1,bus2,apple,None,0,0,0,0,0,0,0,1,0,0,0,0,0
ambig,A,P17,elmo,6,A7,toothbrush1,toothbrush2,door,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,A,P17,elmo,7,A15,chair1,dog2,kangaroo,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,A,P17,elmo,8,A5,shoe1,shoe2,paintbrush,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,A,P17,elmo,9,A12,bus1,car2,flashlight,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,A,P17,elmo,10,A13,car1,cat2,dolphin,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ambig,A,P17,elmo,11,A1,fish1,fish2,playdoh,0,0,1,0,0,0,0,0,0,0,0,0,0,0
control,A,P17,elmo,12,A9,bike1,bird2,candle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,A,P17,elmo,13,A4,cup1,cup2,dress,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,A,P17,elmo,14,A3,clock1,clock2,cake,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,A,P17,elmo,15,A2,flower2,flower1,cane,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ambig,A,P17,elmo,16,A8,flower1,tree2,pencil,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,A,P29,elmo,1,A14,cat1,chair2,hairbrush,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,A,P29,elmo,2,A9,bike1,bird2,candle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,A,P29,elmo,3,A3,clock1,clock2,cake,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,A,P29,elmo,4,A11,book2,bird1,playground,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,A,P29,elmo,5,A7,toothbrush1,toothbrush2,door,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,A,P29,elmo,6,A13,car1,cat2,dolphin,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,A,P29,elmo,7,A8,flower1,tree2,pencil,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,A,P29,elmo,8,A6,spoon1,spoon2,comb,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,A,P29,elmo,9,A12,bus1,car2,flashlight,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,A,P29,elmo,10,A4,cup1,cup2,dress,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,A,P29,elmo,11,A5,shoe1,shoe2,paintbrush,0,1,1,0,0,0,0,0,0,0,0,0,0,0
control,A,P29,elmo,12,A10,book1,bus2,apple,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,A,P29,elmo,13,A15,chair1,dog2,kangaroo,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,A,P29,elmo,14,A2,flower2,flower1,cane,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,A,P29,elmo,15,A1,fish1,fish2,playdoh,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,A,P29,elmo,16,A16,dog1,bike2,rainbow,0,0,0,0,0,1,0,0,0,0,0,0,0,0
control,A,P38,elmo,1,A13,car1,cat2,dolphin,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,A,P38,elmo,2,A7,toothbrush1,toothbrush2,door,1,1,0,0,0,0,0,0,0,0,1,0,0,0
ambig,A,P38,elmo,3,A5,shoe1,shoe2,paintbrush,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,A,P38,elmo,4,A8,flower1,tree2,pencil,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,A,P38,elmo,5,A12,bus1,car2,flashlight,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,A,P38,elmo,6,A10,book1,bus2,apple,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,A,P38,elmo,7,A14,cat1,chair2,hairbrush,1,1,0,1,0,0,0,0,0,0,0,0,0,0
control,A,P38,elmo,8,A11,book2,bird1,playground,1,1,1,0,0,0,0,0,0,0,0,0,0,0
control,A,P38,elmo,9,A9,bike1,bird2,candle,1,1,0,0,0,0,0,0,0,0,0,1,0,0
control,A,P38,elmo,10,A15,chair1,dog2,kangaroo,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,A,P38,elmo,11,A2,flower2,flower1,cane,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,A,P38,elmo,12,A4,cup1,cup2,dress,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ambig,A,P38,elmo,13,A3,clock1,clock2,cake,1,1,1,0,0,0,1,0,0,0,0,0,0,0
control,A,P38,elmo,14,A16,dog1,bike2,rainbow,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,A,P38,elmo,15,A6,spoon1,spoon2,comb,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,A,P38,elmo,16,A1,fish1,fish2,playdoh,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,B,P26,elmo,1,B14,cat2,chair1,hairbrush,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,B,P26,elmo,2,B2,flower2,flower1,cane,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,B,P26,elmo,3,B5,shoe2,shoe1,paintbrush,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,B,P26,elmo,4,B12,bus2,car1,flashlight,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,B,P26,elmo,5,B10,bird2,book1,playground,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,B,P26,elmo,6,B13,car2,cat1,dolphin,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,B,P26,elmo,7,B8,tree2,tree1,pencil,0,0,0,0,0,1,0,0,0,0,0,0,0,0
control,B,P26,elmo,8,B16,dog2,bike1,rainbow,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ambig,B,P26,elmo,9,B1,fish2,fish1,playdoh,0,0,1,0,0,0,1,0,0,0,0,0,0,0
ambig,B,P26,elmo,10,B3,clock2,clock1,cake,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ambig,B,P26,elmo,11,B7,toothbrush2,toothbrush1,door,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,B,P26,elmo,12,B6,spoon2,spoon1,comb,0,0,1,0,0,0,0,0,0,0,0,0,0,0
control,B,P26,elmo,13,B9,bike2,bird1,candle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,B,P26,elmo,14,B4,cup2,cup1,dress,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,B,P26,elmo,15,B11,book2,bus1,apple,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,B,P26,elmo,16,B15,chair2,dog1,kangaroo,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P32,elmo,1,D6,cat2,cat1,brush,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P32,elmo,2,D5,car2,car1,dolphin,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P32,elmo,3,D16,tree2,fish1,pencil,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P32,elmo,4,D11,cup2,clock1,cake,1,1,0,1,0,0,0,0,0,1,0,0,0,0
control,D,P32,elmo,5,D10,flower2,cup1,cane,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P32,elmo,6,D9,fish2,flower1,playdoh,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P32,elmo,7,D8,dog2,dog1,rainbow,1,1,0,0,0,0,0,1,0,0,0,1,0,0
ambig,D,P32,elmo,8,D2,bird2,bird1,playground,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P32,elmo,9,D13,shoe2,spoon1,paintbrush,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P32,elmo,10,D12,clock2,shoe1,dress,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P32,elmo,11,D7,chair2,chair1,kangaroo,1,1,0,1,0,0,0,0,0,0,0,0,0,0
control,D,P32,elmo,12,D15,toothbrush2,tree1,door,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P32,elmo,13,D4,bus2,bus1,torch,1,1,0,1,0,0,0,0,1,0,0,0,0,0
control,D,P32,elmo,14,D14,spoon2,toothbrush1,comb,1,1,0,0,1,0,0,0,0,0,0,0,0,0
ambig,D,P32,elmo,15,D1,bike2,bike1,candle,1,1,1,0,0,0,1,0,0,1,0,0,0,0
ambig,D,P32,elmo,16,D3,book2,book1,apple,1,1,1,0,0,0,1,0,0,0,0,0,0,0
control,A,P09,elmo,1,A16,dog1,bike2,rainbow,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,A,P09,elmo,2,A15,chair1,dog2,kangaroo,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,A,P09,elmo,3,A9,bike1,bird2,candle,0,0,0,0,0,0,0,0,0,0,0,1,0,0
control,A,P09,elmo,4,A12,bus1,car2,flashlight,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,A,P09,elmo,5,A4,cup1,cup2,dress,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ambig,A,P09,elmo,6,A1,fish1,fish2,playdoh,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,A,P09,elmo,7,A10,book1,bus2,apple,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,A,P09,elmo,8,A7,toothbrush1,toothbrush2,door,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,A,P09,elmo,9,A6,spoon1,spoon2,comb,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,A,P09,elmo,10,A13,car1,cat2,dolphin,0,0,0,1,0,0,0,0,0,1,0,0,0,0
ambig,A,P09,elmo,11,A8,flower1,tree2,pencil,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,A,P09,elmo,12,A11,book2,bird1,playground,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,A,P09,elmo,13,A2,flower2,flower1,cane,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ambig,A,P09,elmo,14,A5,shoe1,shoe2,paintbrush,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,A,P09,elmo,15,A3,clock1,clock2,cake,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,A,P09,elmo,16,A14,cat1,chair2,hairbrush,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P04,elmo,1,D12,clock2,shoe1,dress,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P04,elmo,2,D7,chair2,chair1,kangaroo,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P04,elmo,3,D9,fish2,flower1,playdoh,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ambig,D,P04,elmo,4,D8,dog2,dog1,rainbow,0,1,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P04,elmo,5,D14,spoon2,toothbrush1,comb,0,0,0,0,0,0,0,0,1,0,0,0,0,0
control,D,P04,elmo,6,D16,tree2,fish1,pencil,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P04,elmo,7,D3,book2,book1,apple,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P04,elmo,8,D6,cat2,cat1,brush,0,0,0,0,0,0,0,0,0,0,1,0,0,0
control,D,P04,elmo,9,D15,toothbrush2,tree1,door,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P04,elmo,10,D4,bus2,bus1,torch,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P04,elmo,11,D10,flower2,cup1,cane,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P04,elmo,12,D11,cup2,clock1,cake,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P04,elmo,13,D2,bird2,bird1,playground,0,1,0,0,0,0,0,0,1,0,0,0,0,0
control,D,P04,elmo,14,D13,shoe2,spoon1,paintbrush,0,0,0,0,0,0,1,0,1,0,0,0,0,0
ambig,D,P04,elmo,15,D5,car2,car1,dolphin,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P04,elmo,16,D1,bike2,bike1,candle,1,1,0,0,0,0,0,0,0,0,0,0,0,1
control,D,P41,elmo,1,D16,tree2,fish1,pencil,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P41,elmo,2,D15,toothbrush2,tree1,door,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P41,elmo,3,D12,clock2,shoe1,dress,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P41,elmo,4,D11,cup2,clock1,cake,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P41,elmo,5,D8,dog2,dog1,rainbow,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P41,elmo,6,D3,book2,book1,apple,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P41,elmo,7,D6,cat2,cat1,brush,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P41,elmo,8,D13,shoe2,spoon1,paintbrush,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P41,elmo,9,D5,car2,car1,dolphin,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P41,elmo,10,D2,bird2,bird1,playground,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P41,elmo,11,D7,chair2,chair1,kangaroo,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P41,elmo,12,D10,flower2,cup1,cane,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P41,elmo,13,D14,spoon2,toothbrush1,comb,0,0,0,0,0,1,0,0,0,0,0,0,0,0
control,D,P41,elmo,14,D9,fish2,flower1,playdoh,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P41,elmo,15,D4,bus2,bus1,torch,1,1,0,0,0,1,0,0,0,0,0,0,0,0
ambig,D,P41,elmo,16,D1,bike2,bike1,candle,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P08,elmo,1,D14,spoon2,toothbrush1,comb,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P08,elmo,2,D4,bus1,bus2,torch,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P08,elmo,3,D3,book2,book1,apple,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P08,elmo,4,D5,car2,car1,dolphin,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P08,elmo,5,D6,cat2,cat1,comb,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P08,elmo,6,D7,chair2,chair1,kangaroo,0,1,0,0,0,0,1,0,0,0,0,0,0,0
control,D,P08,elmo,7,D10,flower2,cup1,cane,0,0,1,0,0,0,0,0,0,0,0,0,0,0
control,D,P08,elmo,8,D16,tree2,fish1,pencil,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P08,elmo,9,D8,dog2,dog1,rainbow,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P08,elmo,10,D1,bike2,bike1,candle,0,0,0,0,0,0,1,0,0,0,0,0,0,0
control,D,P08,elmo,11,D9,fish2,flower1,playdoh,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P08,elmo,12,D2,bird2,bird1,playground,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P08,elmo,13,D11,cup2,clock1,cake,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P08,elmo,14,D13,shoe2,spoon1,paintbrush,1,0,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P08,elmo,15,D12,clock2,shoe1,dress,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P08,elmo,16,D15,toothbrush2,tree1,door,0,0,0,0,1,0,0,0,0,0,0,0,0,0
control,A,P01,elmo,1,A14,cat1,chair2,hairbrush,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,A,P01,elmo,2,A2,flower2,flower1,cane,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ambig,A,P01,elmo,3,A7,toothbrush2,toothbrush1,door,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,A,P01,elmo,4,A4,cup2,cup1,dress,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,A,P01,elmo,5,A12,bus1,car2,flashlight,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,A,P01,elmo,6,A11,book2,bird1,playground,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,A,P01,elmo,7,A10,book1,bus2,apple,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,A,P01,elmo,8,A16,dog1,bike2,rainbow,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,A,P01,elmo,9,A13,car1,cat2,dolphin,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,A,P01,elmo,10,A5,shoe1,shoe2,paintbrush,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,A,P01,elmo,11,A1,fish1,fish2,playdoh,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ambig,A,P01,elmo,12,A8,flower1,tree2,pencil,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,A,P01,elmo,13,A3,clock1,clock2,cake,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,A,P01,elmo,14,A6,spoon1,spoon2,comb,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,A,P01,elmo,15,A15,chair1,dog2,kangaroo,0,0,1,0,0,1,0,0,0,0,0,0,0,0
control,A,P01,elmo,16,A9,bike1,bird2,candle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P07,elmo,1,C14,spoon1,toothbrush2,comb,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ambig,C,P07,elmo,2,C2,bird1,bird2,playground,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P07,elmo,3,C11,cup1,clock2,cake,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P07,elmo,4,C1,bike1,bike2,candle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P07,elmo,5,C3,book1,book2,apple,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P07,elmo,6,C15,toothbrush1,tree2,door,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P07,elmo,7,C12,clock1,shoe2,dress,0,0,0,0,0,0,0,0,0,0,1,0,0,0
control,C,P07,elmo,8,C16,tree1,fish2,pencil,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P07,elmo,9,C5,car1,car2,dolphin,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P07,elmo,10,C8,dog1,dog2,rainbow,0,0,1,0,0,0,0,0,0,0,0,0,0,0
control,C,P07,elmo,11,C10,flower1,cup2,cane,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P07,elmo,12,C7,chair1,chair2,kangaroo,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P07,elmo,13,C9,fish1,flower2,playdoh,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,C,P07,elmo,14,C4,bus1,bus2,torch,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,C,P07,elmo,15,C13,shoe1,spoon2,paintbrush,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ambig,C,P07,elmo,16,C6,cat1,cat2,brush,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P16,elmo,1,D5,car2,car1,dolphin,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P16,elmo,2,D4,bus2,bus1,torch,0,0,1,0,0,0,0,0,0,0,1,0,0,0
control,D,P16,elmo,3,D11,cup2,clock1,cake,0,0,0,1,0,0,0,0,0,1,0,0,0,0
ambig,D,P16,elmo,4,D6,cat2,cat1,brush,0,0,0,0,0,0,0,0,1,0,0,0,0,0
control,D,P16,elmo,5,D13,shoe2,spoon1,paintbrush,0,0,0,0,0,0,0,0,0,0,0,1,0,0
control,D,P16,elmo,6,D15,toothbrush2,tree1,door,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P16,elmo,7,D10,flower2,cup1,cane,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ambig,D,P16,elmo,8,D1,bike2,bike1,torch,0,0,0,0,0,1,0,0,0,0,0,0,0,0
control,D,P16,elmo,9,D12,clock2,shoe1,dress,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P16,elmo,10,D14,spoon2,toothbrush1,comb,0,0,0,0,0,0,1,0,1,0,0,0,0,0
control,D,P16,elmo,11,D9,fish2,flower1,playdoh,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ambig,D,P16,elmo,12,D7,chair2,chair1,kangaroo,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P16,elmo,13,D2,bird2,bird1,playground,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,D,P16,elmo,14,D16,tree2,fish1,pencil,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,D,P16,elmo,15,D3,book2,book1,apple,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ambig,D,P16,elmo,16,D8,dog2,dog1,ainbow,1,1,0,0,0,0,0,0,0,0,0,0,0,0
control,A,P33,elmo,1,A12,bus1,car2,flashlight,0,0,1,0,0,1,0,0,0,0,0,0,0,0
control,A,P33,elmo,2,A11,book2,bird1,playground,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,A,P33,elmo,3,A16,dog1,bike2,rainbow,0,0,0,0,0,1,0,0,0,0,0,0,0,0
control,A,P33,elmo,4,A10,book1,bus2,apple,0,0,0,1,0,0,0,0,1,1,0,0,0,0
control,A,P33,elmo,5,A13,car1,cat2,dolphin,0,0,1,0,0,1,0,0,0,0,0,0,0,0
control,A,P33,elmo,6,A14,cat1,chair2,hairbrush,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ambig,A,P33,elmo,7,A6,spoon1,spoon2,comb,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ambig,A,P33,elmo,8,A2,flower2,flower1,cane,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,A,P33,elmo,9,A9,bike1,bird2,candle,0,0,0,0,0,0,0,0,0,1,0,0,0,0
control,A,P33,elmo,10,A15,chair1,dog2,kangaroo,0,0,1,0,0,1,0,0,0,0,0,0,0,0
ambig,A,P33,elmo,11,A1,fish1,fish2,playdoh,0,0,0,1,0,0,0,0,0,1,0,0,0,0
ambig,A,P33,elmo,12,A3,clock1,clock2,cake,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ambig,A,P33,elmo,13,A5,shoe1,shoe2,paintbrush,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ambig,A,P33,elmo,14,A8,flower1,tree2,pencil,0,0,0,0,0,0,0,0,0,0,0,0,0,0