,Condition,List,Participant,Phase,PresentationID,TrialID,target_filename,foil_filename,distractor_filename,informative_target,informative_foil,target_to_foil,target_to_distractor,target_to_White Space,foil_to_target,foil_to_distractor,foil_to_White Space,distractor_to_target,distractor_to_foil,White Space_to_target,White Space_to_foil,White Space_to_distractor,distractor_to_White Space,target_fixate_dur,foil_fixate_dur,distractor_fixate_dur
127,ambiguous,C,P03,elmo,16,C1,bike1,bike2,candle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,366.8,0.0
128,control,C,P27,elmo,1,C13,shoe1,spoon2,paintbrush,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1099.9,0.0,0.0
129,control,C,P27,elmo,2,C12,clock1,shoe2,dress,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1166.7,0.0,0.0
130,control,C,P27,elmo,3,C16,tree1,fish2,pencil,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0
131,ambiguous,C,P27,elmo,4,C1,bike1,bike2,candle,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,933.0,0.0,0.0
132,control,C,P27,elmo,5,C11,cup1,clock2,cake,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.1,0.0,0.0
133,control,C,P27,elmo,6,C9,fish1,flower2,playdoh,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,466.8,0.0,0.0
134,ambiguous,C,P27,elmo,7,C3,book1,book2,apple,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,ambiguous,C,P27,elmo,8,C2,bird1,bird2,playground,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.2,0.0
136,ambiguous,C,P27,elmo,9,C4,bus1,bus2,torch,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,466.6,0.0,0.0
137,ambiguous,C,P27,elmo,10,C6,cat1,cat2,brush,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,566.4,0.0
138,ambiguous,C,P27,elmo,11,C7,chair1,chair2,kangaroo,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,899.9
139,ambiguous,C,P27,elmo,12,C8,dog1,dog2,kangaroo,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,666.7,0.0,0.0
140,control,C,P27,elmo,13,C10,flower1,cup2,cane,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.5,0.0,0.0
141,control,C,P27,elmo,14,C15,toothbrush1,tree2,door,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,800.0
142,ambiguous,C,P27,elmo,15,C5,car1,car2,dolphin,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,666.6,633.2,0.0
143,control,C,P27,elmo,16,C14,spoon1,toothbrush2,comb,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.6,0.0,0.0
144,ambiguous,C,P40,elmo,1,C4,bus1,bus2,torch,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1366.6,0.0,0.0
145,control,C,P40,elmo,2,C16,tree1,fish2,pencil,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0
146,ambiguous,C,P40,elmo,3,C3,book1,book2,apple,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1366.7,0.0,0.0
147,control,C,P40,elmo,4,C9,fish1,flower2,playdoh,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.4,400.0,0.0
148,ambiguous,C,P40,elmo,5,C7,chair1,chair2,kangaroo,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,466.7,0.0
149,control,C,P40,elmo,6,C11,cup1,clock2,cake,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1199.9,0.0,0.0
150,control,C,P40,elmo,7,C14,spoon1,toothbrush2,comb,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,566.5,0.0,400.0
151,ambiguous,C,P40,elmo,8,C6,cat1,cat2,brush,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,599.9000000000001,0.0,0.0
152,ambiguous,C,P40,elmo,9,C1,bike1,bike2,candle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,766.5999999999999,0.0
153,ambiguous,C,P40,elmo,10,C8,dog1,dog2,rainbow,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399.9,0.0,0.0
154,control,C,P40,elmo,11,C15,toothbrush1,tree2,door,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.3
155,control,C,P40,elmo,12,C13,shoe1,spoon2,paintbrush,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,899.7,0.0,0.0
156,control,C,P40,elmo,13,C12,clock1,shoe2,dress,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1033.1,0.0,0.0
157,ambiguous,C,P40,elmo,14,C2,bird1,bird2,playground,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.6,799.7,0.0
158,ambiguous,C,P40,elmo,15,C5,car1,car2,dolphin,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,699.7,299.8
159,control,C,P40,elmo,16,C10,flower1,cup2,cane,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,966.5,0.0,0.0
160,ambiguous,A,P13,elmo,1,A1,fish1,fish2,playdoh,1,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.1,233.3,0.0
161,ambiguous,A,P13,elmo,2,A3,clock1,clock2,cake,1,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,333.0,0.0,167.8
162,ambiguous,A,P13,elmo,3,A6,spoon1,spoon2,comb,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0
163,ambiguous,A,P13,elmo,4,A8,flower1,tree2,pencl,1,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.3,100.0,0.0
164,control,A,P13,elmo,5,A14,cat1,chair2,hairbrush,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,566.4,0.0,0.0
165,control,A,P13,elmo,6,A16,dog1,bike2,rainbow,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1066.6,0.0,0.0
166,ambiguous,A,P13,elmo,7,A7,toothbrush1,toothbrush2,door,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,333.4,0.0,433.3
167,ambiguous,A,P13,elmo,8,A4,cup1,cup2,dress,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,166.7,0.0,466.6
168,control,A,P13,elmo,9,A11,book2,bird1,playground,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,299.9,0.0,366.70000000000005
169,control,A,P13,elmo,10,A9,bike1,bird2,candle,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.2,0.0,0.0
170,control,A,P13,elmo,11,A10,book1,bus2,apple,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,866.5,0.0,0.0
171,ambiguous,A,P13,elmo,12,A2,flower2,flower1,cane,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1033.2,0.0,0.0
172,control,A,P13,elmo,13,A12,bus1,car2,flashlight,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.1,0.0,0.0
173,control,A,P13,elmo,14,A15,chair1,dog2,kangaroo,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,ambiguous,A,P13,elmo,15,A5,shoe1,shoe2,paintbrush,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,333.2,0.0,0.0
175,control,A,P13,elmo,16,A13,car1,cat2,dolphin,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
176,control,D,P14,elmo,1,D13,shoe2,spoon1,paintbrush,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399.8,0.0,0.0
177,ambiguous,D,P14,elmo,2,D4,bus2,bus1,torch,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.2,0.0,0.0
178,control,D,P14,elmo,3,D10,flower2,cup1,cane,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1133.5,0.0,0.0
179,control,D,P14,elmo,4,D11,cup2,clock1,cake,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
180,ambiguous,D,P14,elmo,5,D6,cat2,cat1,brush,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,766.6,0.0,0.0
181,ambiguous,D,P14,elmo,6,D5,car2,car1,dolphin,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,733.1
182,ambiguous,D,P14,elmo,7,D2,bird2,bird1,playground,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.1
183,control,D,P14,elmo,8,D16,tree2,fish1,pencil,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,ambiguous,D,P14,elmo,9,D1,bike2,bike1,candle,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.9,166.6
185,control,D,P14,elmo,10,D14,spoon2,toothbrush1,comb,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
186,ambiguous,D,P14,elmo,11,D8,dog2,dog1,rainbow,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.7,799.8,0.0
187,control,D,P14,elmo,12,D9,fish2,flower1,playdoh,1,1,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.5,699.9,0.0
188,ambiguous,D,P14,elmo,13,D3,book2,book1,apple,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,ambiguous,D,P14,elmo,14,D7,chair2,chair1,kangaroo,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,control,D,P14,elmo,15,D15,toothbrush2,tree1,door,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,control,D,P14,elmo,16,D12,clock2,shoe1,dress,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,ambiguous,A,P05,elmo,1,A6,spoon1,spoon2,comb,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,166.6,233.2,0.0
193,control,A,P05,elmo,2,A12,bus1,car2,flashlight,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.3,0.0,0.0
194,control,A,P05,elmo,3,A16,dog1,bike2,rainbow,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,599.8,266.8,0.0
195,control,A,P05,elmo,4,A10,book1,bus2,apple,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1366.4,0.0,0.0
196,control,A,P05,elmo,5,A11,book2,bird1,playground,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.7
197,ambiguous,A,P05,elmo,6,A3,clock1,clock2,cake,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0
198,control,A,P05,elmo,7,A9,bike1,bird2,candle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,633.2,0.0,0.0
199,control,A,P05,elmo,8,A14,cat1,chair2,hairbrush,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,133.3,433.4,333.4
200,ambiguous,A,P05,elmo,9,A1,fish1,fish2,playdoh,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1033.1000000000001,133.3
201,control,A,P05,elmo,10,A13,car1,cat2,dolphin,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0
202,ambiguous,A,P05,elmo,11,A4,cup1,cup2,dress,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,832.9,233.5,0.0
203,ambiguous,A,P05,elmo,12,A8,tree1,tree2,pencil,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1033.4,0.0,0.0
204,ambiguous,A,P05,elmo,13,A2,flower2,flower1,cane,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,766.8,0.0,0.0
205,control,A,P05,elmo,14,A15,chair1,dog2,kangaroo,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,100.0,300.0,0.0
206,ambiguous,A,P05,elmo,15,A5,shoe1,shoe2,paintbrush,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,366.7,0.0,599.9
207,ambiguous,A,P05,elmo,16,A7,toothbrush1,toothbrush2,door,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,533.2,0.0,566.6
208,control,D,P36,elmo,1,D11,cup2,clock1,cake,None,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,766.5
209,ambiguous,D,P36,elmo,2,D3,book2,book1,apple,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,433.3,0.0,766.6
210,ambiguous,D,P36,elmo,3,D7,chair2,chair1,kangaroo,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.9,200.0,0.0
211,ambiguous,D,P36,elmo,4,D4,bus2,bus1,torch,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.1,0.0
212,ambiguous,D,P36,elmo,5,D1,bike2,bike1,candle,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0
213,ambiguous,D,P36,elmo,6,D5,car2,car1,dolphin,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.6,0.0,0.0
214,ambiguous,D,P36,elmo,7,D6,cat2,cat1,brush,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1333.4,0.0,0.0
215,control,D,P36,elmo,8,D10,flower2,cup1,cane,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,566.6,0.0,166.7
216,ambiguous,D,P36,elmo,9,D2,bird2,bird1,playground,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,734.8,0.0,0.0
217,control,D,P36,elmo,10,D16,tree2,fish1,pencil,0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533.2,700.1,0.0
218,control,D,P36,elmo,11,D13,shoe2,spoon1,paintbrush,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,466.5,0.0,267.2
219,control,D,P36,elmo,12,D12,clock2,shoe1,dress,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,465.70000000000005,0.0
220,control,D,P36,elmo,13,D15,toothbrush2,tree1,door,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.2,500.0,0.0
221,control,D,P36,elmo,14,D14,spoon2,toothbrush1,comb,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.5,0.0,0.0
222,ambiguous,D,P36,elmo,15,D8,dog2,dog1,rainbow,1,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,233.2,566.6,0.0
223,control,D,P36,elmo,16,D9,fish2,flower1,playdoh,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,466.6,0.0,0.0
224,control,C,P42,elmo,1,C13,shoe1,spoon2,paintbrush,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,498.1,0.0,0.0
225,ambiguous,C,P42,elmo,2,C4,bus1,bus2,torch,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,control,C,P42,elmo,3,C10,flower1,cup2,cane,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227,ambiguous,C,P42,elmo,4,C1,bike1,bike2,candle,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,466.6,0.0,733.2
228,control,C,P42,elmo,5,C9,fish1,flower2,playdoh,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,400.1,433.3
229,ambiguous,C,P42,elmo,6,C8,dog1,dog2,rainbow,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,733.2,0.0,0.0
230,ambiguous,C,P42,elmo,7,C6,cat1,cat2,brush,1,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231,ambiguous,C,P42,elmo,8,C2,bird1,bird2,playground,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,466.8,0.0
232,ambiguous,C,P42,elmo,9,C3,book1,book2,apple,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,599.9,0.0,566.6
233,ambiguous,C,P42,elmo,10,C7,chair1,chair2,kangaroo,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234,control,C,P42,elmo,11,C14,spoon1,toothbrush2,comb,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1199.9,0.0,0.0
235,control,C,P42,elmo,12,C16,tree1,fish2,pencil,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.3,0.0
236,control,C,P42,elmo,13,C11,cup1,clock2,cake,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.1
237,ambiguous,C,P42,elmo,14,C5,car1,car2,dolphin,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,466.70000000000005,0.0
238,control,C,P42,elmo,15,C12,clock1,shoe2,dress,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
239,control,C,P42,elmo,16,C15,toothbrush1,tree2,door,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240,control,A,P20,elmo,1,A16,dog1,bike2,rainbow,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.8,0.0,0.0
241,control,A,P20,elmo,2,A15,chair1,dog2,kangaroo,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
242,control,A,P20,elmo,3,A9,bike1,bird2,candle,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,499.9
243,ambiguous,A,P20,elmo,4,A1,fish1,fish2,playdoh,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,566.4,500.0,0.0
244,ambiguous,A,P20,elmo,5,A7,toothbrush1,toothbrush2,door,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,799.8,0.0
245,control,A,P20,elmo,6,A12,bus1,car2,flashlight,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.3,0.0,0.0
246,control,A,P20,elmo,7,A10,book1,bus2,apple,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
247,ambiguous,A,P20,elmo,8,A3,clock1,clock2,cake,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
248,control,A,P20,elmo,9,A11,book2,bird1,playground,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,799.9
249,ambiguous,A,P20,elmo,10,A4,cup1,cup2,dress,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,699.9,233.3
250,control,A,P20,elmo,11,A14,cat1,chair2,hairbrush,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,733.3,0.0,465.9
251,control,A,P20,elmo,12,A13,car1,cat2,dolphin,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,966.6,100.0,0.0
252,ambiguous,A,P20,elmo,13,A2,flower2,flower1,cane,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,699.9000000000001
253,ambiguous,A,P20,elmo,14,A5,shoe1,shoe2,paintbrush,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.4,499.9,0.0
254,ambiguous,A,P20,elmo,15,A6,spoon1,spoon2,comb,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.6,0.0
255,ambiguous,A,P20,elmo,16,A8,flower1,tree2,pencil,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.4,333.3,0.0
256,control,D,P41,elmo,1,D16,tree2,fish1,pencil,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0
257,control,D,P41,elmo,2,D15,toothbrush2,tree1,door,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,366.7
258,control,D,P41,elmo,3,D12,clock2,shoe1,dress,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
